iteration param_name param_val param_factor ADPf AMPf ATPf DHAP E4P Fru16P2 Fru6P GSH GSSG Glc6P GlcA6P Glcin Glcout GraP Gri13P2 Gri23P2f Gri2P Gri3P Lac Lacex MgADP MgAMP MgATP MgGri23P2 Mgf NAD NADH NADPHf NADPf P1NADP P1NADPH P1f P2NADP P2NADPH P2f PEP PRPP Phi Phiex Pyr Pyrex Rib5P Rul5P Sed7P Xul5P v_1 v_10 v_11 v_12 v_13 v_14 v_15 v_16 v_17 v_18 v_19 v_2 v_20 v_21 v_22 v_23 v_24 v_25 v_26 v_27 v_28 v_29 v_3 v_30 v_31 v_32 v_33 v_34 v_35 v_36 v_37 v_38 v_4 v_5 v_6 v_7 v_8 v_9
10 KMinv0 6.69601767839 -0.0130324991543 0.180078 0.0705771 0.174093 0.1304 0.00587768 0.0075871 0.0158794 3.11403 0.000186338 0.0408586 0.0256255 4.56094 5 0.00529654 0.000419451 1.7823 0.00732462 0.0580771 1.68031 1.68 0.140224 0.00383247 1.4312 0.632844 0.591904 0.0653436 0.000156437 0.00489355 2.21989e-05 5.43131e-06 0.0239456 4.89331e-05 0.00192423 0.021209 0.000866813 0.0090322 1 0.999251 1 0.08399 0.084 0.0135229 0.0045605 0.0171362 0.0123078 1.52132 0.489467 2.96878 2.96878 2.96878 2.96878 0.100039 2.40441 0.0249686 0.0967299 0.0967299 1.52132 0.0934208 0.0934208 0.0478408 0.0488891 0.0239204 0.0239204 0.0249686 0.0239204 0.0749059 -3.06882 1.42459 0.100039 -6.66134e-13 -0.0249686 0.0249686 0 8.47033e-19 3.46945e-15 -2.1684e-16 3.46945e-15 1.47243 1.47243 1.47243 2.96878 2.47932 0.489467
11 K6v23 0.0107752724158 0.143687297934 0.180078 0.0705771 0.174093 0.1304 0.00587767 0.0075871 0.0158794 3.11403 0.000186338 0.0408586 0.0256255 4.56094 5 0.00529654 0.000419451 1.7823 0.00732462 0.0580771 1.68031 1.68 0.140224 0.00383247 1.4312 0.632844 0.591904 0.0653436 0.000156437 0.00489355 2.21989e-05 5.43131e-06 0.0239456 4.89331e-05 0.00192423 0.021209 0.000866813 0.0090322 1 0.999251 1 0.08399 0.084 0.0135229 0.00456051 0.0171362 0.0123078 1.52132 0.489467 2.96878 2.96878 2.96878 2.96878 0.100039 2.40441 0.0249687 0.0967299 0.0967299 1.52132 0.0934208 0.0934208 0.0478408 0.0488891 0.0239204 0.0239204 0.0249687 0.0239204 0.074906 -3.06882 1.42459 0.100039 4.44089e-13 -0.0249687 0.0249687 1.11022e-13 0 3.46945e-15 4.33681e-16 6.93889e-15 1.47243 1.47243 1.47243 2.96878 2.47932 0.489467
12 Keqv17 2094.22523097 0.0199933919496 0.180078 0.0705771 0.174093 0.1304 0.00587763 0.0075871 0.0158794 3.11403 0.00018633 0.0408586 0.0257056 4.56094 5 0.00529654 0.000419451 1.7823 0.00732462 0.0580771 1.68031 1.68 0.140224 0.00383247 1.4312 0.632844 0.591904 0.0653436 0.000156437 0.00489377 2.21352e-05 5.41547e-06 0.0239457 4.89309e-05 0.00191907 0.021214 0.000866977 0.0090322 1 0.999251 1 0.08399 0.084 0.013523 0.00456054 0.0171361 0.0123079 1.52132 0.489467 2.96878 2.96878 2.96878 2.96878 0.100044 2.40441 0.0249688 0.0967322 0.0967322 1.52132 0.0934208 0.0934208 0.0478423 0.0488899 0.0239211 0.0239211 0.0249688 0.0239211 0.0749065 -3.06883 1.42459 0.100044 -4.44089e-13 -0.0249688 0.0249688 1.11022e-13 8.47033e-19 -3.46945e-15 -8.67362e-16 -1.73472e-14 1.47243 1.47243 1.47243 2.96878 2.47932 0.489467
13 K7v24 2.43160734777 -0.016195903517 0.180078 0.0705771 0.174093 0.1304 0.00587775 0.0075871 0.0158794 3.11403 0.00018633 0.0408586 0.0257055 4.56094 5 0.00529654 0.000419451 1.7823 0.00732462 0.0580771 1.68031 1.68 0.140224 0.00383247 1.4312 0.632844 0.591904 0.0653436 0.000156437 0.00489377 2.21352e-05 5.41547e-06 0.0239457 4.89309e-05 0.00191907 0.021214 0.000866977 0.0090322 1 0.999251 1 0.08399 0.084 0.0135228 0.00456046 0.0171349 0.0123077 1.52132 0.489467 2.96878 2.96878 2.96878 2.96878 0.100044 2.40441 0.0249684 0.0967322 0.0967322 1.52132 0.0934208 0.0934208 0.0478425 0.0488897 0.0239213 0.0239213 0.0249684 0.0239213 0.0749052 -3.06883 1.42459 0.100044 2.22045e-13 -0.0249684 0.0249684 -1.11022e-13 0 0 -4.33681e-16 -3.46945e-15 1.47243 1.47243 1.47243 2.96878 2.47931 0.489467
14 KMg23P2Gv1 5.052720638 0.16696684444 0.179902 0.0703479 0.174318 0.130587 0.00591253 0.0076073 0.016015 3.11403 0.000186312 0.0412054 0.0259577 4.56076 5 0.00530413 0.000420039 1.78512 0.00731663 0.0580248 1.68031 1.68 0.139951 0.00381654 1.43167 0.633233 0.591334 0.0653436 0.000156442 0.00489435 2.19734e-05 5.37526e-06 0.0239457 4.89252e-05 0.00190596 0.0212266 0.000867395 0.00901741 1 0.999248 1 0.08399 0.084 0.0135754 0.00457808 0.017356 0.0123553 1.52196 0.489516 2.9699 2.9699 2.9699 2.9699 0.100055 2.4052 0.0250635 0.0967381 0.0967381 1.52196 0.0934208 0.0934208 0.047783 0.048955 0.0238915 0.0238915 0.0250635 0.0238915 0.0751905 -3.06996 1.42522 0.100055 0 -0.0250635 0.0250635 3.33067e-13 0 -3.46945e-15 4.33681e-16 6.93889e-15 1.47301 1.47301 1.47301 2.9699 2.48039 0.489516
15 K1v23 0.388008780222 -0.0320229219421 0.1799 0.0703462 0.174319 0.130587 0.00591786 0.0076073 0.0160158 3.11403 0.000186312 0.0412073 0.0259529 4.56078 5 0.00530414 0.000420041 1.78513 0.00731657 0.0580242 1.68031 1.68 0.139949 0.00381641 1.43167 0.633234 0.591331 0.0653436 0.000156442 0.00489435 2.19722e-05 5.37496e-06 0.0239457 4.89252e-05 0.00190586 0.0212267 0.000867398 0.00901736 1 0.999249 1 0.08399 0.084 0.0135642 0.00457431 0.0173725 0.0123451 1.52192 0.489517 2.96985 2.96985 2.96985 2.96985 0.100055 2.4052 0.0250432 0.0967381 0.0967381 1.52192 0.0934208 0.0934208 0.0477966 0.0489415 0.0238983 0.0238983 0.0250432 0.0238983 0.0751296 -3.06991 1.42518 0.100055 2.22045e-13 -0.0250432 0.0250432 1.11022e-13 -8.47033e-19 -3.46945e-15 2.1684e-16 3.46945e-15 1.47298 1.47298 1.47298 2.96985 2.48033 0.489517
16 Keqv21 3.73262302088 0.140650366078 0.179593 0.0700036 0.174578 0.130658 0.00515258 0.00760843 0.0161601 3.11403 0.000186285 0.0415738 0.0250016 4.56322 5 0.00530707 0.000420467 1.78728 0.00730313 0.0579039 1.68031 1.68 0.139583 0.00379037 1.43245 0.6334 0.590775 0.0653436 0.000156396 0.00489519 2.17362e-05 5.31633e-06 0.0239458 4.8917e-05 0.00188671 0.0212453 0.000868007 0.00900695 1 0.99937 1 0.08399 0.084 0.0113397 0.00382983 0.0152734 0.0142872 1.5132 0.489552 2.95912 2.95912 2.95912 2.95912 0.100072 2.40652 0.0210166 0.0967467 0.0967467 1.5132 0.0934208 0.0934208 0.0504867 0.04626 0.0252434 0.0252434 0.0210166 0.0252434 0.0630498 -3.05919 1.41645 0.100072 -2.22045e-13 -0.0210166 0.0210166 0 -8.47033e-19 0 4.33681e-16 6.93889e-15 1.46694 1.46694 1.46694 2.95912 2.46957 0.489552
17 K3v26 0.0567019498417 0.0148174349929 0.179593 0.0700037 0.174578 0.130658 0.00515321 0.00760843 0.0161601 3.11403 0.000186285 0.0415738 0.0250017 4.56322 5 0.00530707 0.000420467 1.78728 0.00730313 0.0579039 1.68031 1.68 0.139583 0.00379038 1.43245 0.6334 0.590775 0.0653436 0.000156396 0.00489519 2.17362e-05 5.31634e-06 0.0239458 4.8917e-05 0.00188672 0.0212453 0.000868007 0.00900695 1 0.999369 1 0.08399 0.084 0.01134 0.00382994 0.0152752 0.0142876 1.5132 0.489552 2.95912 2.95912 2.95912 2.95912 0.100072 2.40652 0.0210172 0.0967467 0.0967467 1.5132 0.0934208 0.0934208 0.0504863 0.0462603 0.0252432 0.0252432 0.0210172 0.0252432 0.0630515 -3.05919 1.41645 0.100072 -4.44089e-13 -0.0210172 0.0210172 -3.33067e-13 0 -3.46945e-15 -2.1684e-16 -6.93889e-15 1.46694 1.46694 1.46694 2.95912 2.46957 0.489552
18 kLDHv14 184.692751921 -0.119870721564 0.17952 0.0699223 0.174639 0.130675 0.00532813 0.00761128 0.0162145 3.11403 0.000185992 0.0417151 0.0254871 4.56417 5 0.00530774 0.000420564 1.78777 0.00729944 0.0578741 1.6803 1.68 0.139496 0.0037845 1.43264 0.633436 0.590646 0.0653436 0.000156385 0.00490427 1.91871e-05 4.68432e-06 0.0239465 4.88278e-05 0.00167817 0.0214472 0.000874633 0.00900264 1 0.99939 1 0.0839924 0.084 0.0109726 0.00370266 0.0157916 0.0138138 1.5098 0.48956 2.95744 2.95744 2.95744 2.95744 0.0760785 2.40683 0.0203492 0.0847497 0.0847497 1.5098 0.0934208 0.0934208 0.0429337 0.041816 0.0214668 0.0214668 0.0203492 0.0214668 0.0610475 -3.03352 1.42505 0.0760785 6.66134e-13 -0.0203492 0.0203492 -1.11022e-13 -8.47033e-19 3.46945e-15 6.50521e-16 1.73472e-14 1.46799 1.46799 1.46799 2.95744 2.46788 0.48956
19 Vmaxv23 25.4629984516 0.0348416813625 0.179499 0.0698988 0.174657 0.13068 0.00540783 0.00761136 0.0162245 3.11403 0.000185991 0.0417405 0.0254117 4.56434 5 0.00530795 0.000420593 1.78792 0.00729852 0.0578658 1.6803 1.68 0.139471 0.00378272 1.43269 0.633447 0.590607 0.0653436 0.000156381 0.00490433 1.91719e-05 4.68055e-06 0.0239465 4.88273e-05 0.00167691 0.0214484 0.000874673 0.00900192 1 0.999398 1 0.0839924 0.084 0.0108211 0.00365195 0.0160379 0.0136244 1.50921 0.489563 2.9567 2.9567 2.9567 2.9567 0.0760794 2.40692 0.0200734 0.0847501 0.0847501 1.50921 0.0934208 0.0934208 0.0431178 0.0416323 0.0215589 0.0215589 0.0200734 0.0215589 0.0602202 -3.03278 1.42446 0.0760794 -6.66134e-13 -0.0200734 0.0200734 2.22045e-13 0 3.46945e-15 6.50521e-16 1.04083e-14 1.46757 1.46757 1.46757 2.9567 2.46714 0.489563
20 KGraPv4 0.29622622155 0.191500602752 0.177793 0.0693527 0.172703 0.126662 0.00532352 0.00788566 0.0163399 3.11403 0.000185965 0.0420359 0.0253573 4.56376 5 0.00514444 0.000407509 1.72901 0.00704342 0.0561133 1.6803 1.68 0.14006 0.00380487 1.43629 0.621061 0.598788 0.0653436 0.0001564 0.00490513 1.89479e-05 4.62513e-06 0.0239466 4.88194e-05 0.00165844 0.0214663 0.000875259 0.00856549 1 0.999403 1 0.0839924 0.084 0.0107314 0.00362191 0.0164055 0.0135123 1.51128 0.488432 2.96113 2.96113 2.96113 2.96113 0.0760918 2.41296 0.019911 0.0847563 0.0847563 1.51128 0.0934208 0.0934208 0.0432302 0.0415261 0.0216151 0.0216151 0.019911 0.0216151 0.059733 -3.03722 1.42653 0.0760918 -2.22045e-13 -0.019911 0.019911 0 0 0 2.1684e-16 3.46945e-15 1.46976 1.46976 1.46976 2.96113 2.47269 0.488432
21 Vmaxv25 1.17627367134 0.0291156911108 0.177888 0.0694596 0.17262 0.126636 0.00533137 0.0078857 0.0162939 3.11403 0.00018597 0.0419192 0.0252537 4.56299 5 0.00514337 0.000407365 1.72829 0.00704722 0.0561483 1.6803 1.68 0.140176 0.00381315 1.43604 0.620994 0.598974 0.0653436 0.000156415 0.00490497 1.89921e-05 4.63607e-06 0.0239465 4.8821e-05 0.00166208 0.0214628 0.000875144 0.00856803 1 0.999365 1 0.0839924 0.084 0.0106753 0.00360412 0.0163814 0.0134461 1.51404 0.48842 2.96452 2.96452 2.96452 2.96452 0.0760894 2.41255 0.0211823 0.0847551 0.0847551 1.51404 0.0934208 0.0934208 0.0423819 0.0423732 0.0211909 0.0211909 0.0211823 0.0211909 0.0635469 -3.04061 1.42928 0.0760894 4.44089e-13 -0.0211823 0.0211823 -1.11022e-13 -1.69407e-18 0 -1.0842e-15 -1.04083e-14 1.47166 1.47166 1.47166 2.96452 2.4761 0.48842
22 KADPv16 0.0938091079685 -0.0691476788854 0.177888 0.0694596 0.17262 0.126636 0.00533137 0.00788571 0.0162939 3.11403 0.00018597 0.0419192 0.0252537 4.56299 5 0.00514337 0.000407365 1.72829 0.00704722 0.0561483 1.6803 1.68 0.140176 0.00381315 1.43604 0.620994 0.598973 0.0653436 0.000156415 0.00490497 1.89921e-05 4.63607e-06 0.0239465 4.8821e-05 0.00166208 0.0214628 0.000875143 0.00856803 1 0.999365 1 0.0839924 0.084 0.0106753 0.00360413 0.0163814 0.0134461 1.51404 0.48842 2.96452 2.96452 2.96452 2.96452 0.0760894 2.41255 0.0211823 0.0847551 0.0847551 1.51404 0.0934208 0.0934208 0.0423819 0.0423732 0.0211909 0.0211909 0.0211823 0.0211909 0.0635469 -3.04061 1.42928 0.0760894 -2.22045e-13 -0.0211823 0.0211823 1.11022e-13 0 0 6.50521e-16 1.04083e-14 1.47166 1.47166 1.47166 2.96452 2.4761 0.48842
23 Vmaxv5 4404.69580286 -0.093006205945 0.177879 0.0694566 0.17261 0.126677 0.00533091 0.00788725 0.0162945 3.11403 0.00018597 0.0419208 0.0252534 4.56298 5 0.00514249 0.000407295 1.72797 0.00704585 0.0561388 1.6803 1.68 0.14018 0.00381327 1.43606 0.620927 0.599018 0.0653436 0.000156415 0.00490498 1.89909e-05 4.63577e-06 0.0239465 4.88209e-05 0.00166198 0.0214629 0.000875147 0.00856568 1 0.999365 1 0.0839924 0.084 0.0106748 0.00360396 0.0163834 0.0134455 1.51405 0.488413 2.96454 2.96454 2.96454 2.96454 0.0760894 2.41258 0.0211814 0.0847551 0.0847551 1.51405 0.0934208 0.0934208 0.0423825 0.0423726 0.0211913 0.0211913 0.0211814 0.0211913 0.0635441 -3.04063 1.42929 0.0760894 -1.11022e-12 -0.0211814 0.0211814 -1.11022e-13 0 3.46945e-15 4.33681e-16 1.04083e-14 1.47168 1.47168 1.47168 2.96454 2.47613 0.488413
24 K6v26 0.11003398765 -0.0448329785249 0.177879 0.0694566 0.17261 0.126677 0.00533086 0.00788725 0.0162945 3.11403 0.00018597 0.0419208 0.0252534 4.56298 5 0.00514249 0.000407295 1.72797 0.00704585 0.0561388 1.6803 1.68 0.14018 0.00381327 1.43606 0.620927 0.599018 0.0653436 0.000156415 0.00490498 1.89909e-05 4.63577e-06 0.0239465 4.88209e-05 0.00166198 0.0214629 0.000875147 0.00856568 1 0.999365 1 0.0839924 0.084 0.0106748 0.00360395 0.0163833 0.0134454 1.51405 0.488413 2.96454 2.96454 2.96454 2.96454 0.0760894 2.41258 0.0211813 0.0847551 0.0847551 1.51405 0.0934208 0.0934208 0.0423825 0.0423726 0.0211913 0.0211913 0.0211813 0.0211913 0.063544 -3.04063 1.42929 0.0760894 8.88178e-13 -0.0211813 0.0211813 -1.11022e-13 0 3.46945e-15 8.67362e-16 1.38778e-14 1.47168 1.47168 1.47168 2.96454 2.47613 0.488413
25 Keqv12 13987.5668055 0.00617790758398 0.177877 0.0694562 0.172608 0.126674 0.00533079 0.00788693 0.0162946 3.11403 0.00018597 0.041921 0.0252534 4.56298 5 0.00514237 0.000407285 1.72793 0.00704565 0.0561375 1.6803 1.68 0.14018 0.00381328 1.43606 0.620918 0.599024 0.0653436 0.000156415 0.00490498 1.89907e-05 4.63573e-06 0.0239465 4.88209e-05 0.00166197 0.0214629 0.000875147 0.00856535 1 0.999365 1 0.0839924 0.084 0.0106747 0.00360393 0.0163836 0.0134453 1.51405 0.488412 2.96454 2.96454 2.96454 2.96454 0.0760894 2.41259 0.0211812 0.0847551 0.0847551 1.51405 0.0934208 0.0934208 0.0423826 0.0423725 0.0211913 0.0211913 0.0211812 0.0211913 0.0635436 -3.04063 1.42929 0.0760894 -2.22045e-13 -0.0211812 0.0211812 0 0 -3.46945e-15 2.1684e-16 0 1.47168 1.47168 1.47168 2.96454 2.47613 0.488412
26 KFru16P2v4 0.00835052900709 0.0704556402474 0.177018 0.0691805 0.171625 0.124658 0.00528751 0.00803477 0.0163532 3.11403 0.000185957 0.042071 0.025225 4.5627 5 0.00506036 0.000400725 1.69848 0.00691742 0.0552564 1.6803 1.68 0.140479 0.00382457 1.43787 0.614608 0.603216 0.0653436 0.000156424 0.00490538 1.88783e-05 4.6079e-06 0.0239466 4.8817e-05 0.00165268 0.0214719 0.000875442 0.008346 1 0.999367 1 0.0839924 0.084 0.0106294 0.00358877 0.0165734 0.0133887 1.51507 0.487821 2.96673 2.96673 2.96673 2.96673 0.0760957 2.41563 0.0210935 0.0847583 0.0847583 1.51507 0.0934208 0.0934208 0.0424432 0.0423151 0.0212216 0.0212216 0.0210935 0.0212216 0.0632805 -3.04282 1.43031 0.0760957 6.66134e-13 -0.0210935 0.0210935 1.11022e-13 -8.47033e-19 0 6.50521e-16 1.04083e-14 1.47275 1.47275 1.47275 2.96673 2.47891 0.487821
