name Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
Keqv13 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv12 0.00473757 0.0109077 0.00086372 0.0140527 0.0020214 2.34033e-05 0.00015634 0.0211149 0.0239453 0.0653437 0.55504 0.0127859 0.999311 1.41796 0.0839901 0.00242956 0.072062 0.0084189 2.06632 0.0155199 0.183938 0.000480324 1.6803 0.00605678 0.0250897 0.0396826 0.00627689 3.11403 0.149083 0.00966121 0.136572 0.000186739 0.00488929 0.0154205 5.73093e-06 0.0655876 0.687997 4.8975e-05 4.56663 0.187037
KX5Pv21 0.0047219 0.0109396 0.000863632 0.0140052 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844207 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.00627174 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153445 5.73941e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
K6v26 0.00472206 0.0109396 0.000863632 0.0140056 0.00202416 2.34378e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127441 0.999225 1.41771 0.08399 0.00243877 0.0722415 0.00844207 2.06123 0.0154129 0.183657 0.000480654 1.68031 0.00606285 0.0250542 0.0394889 0.00627218 3.11403 0.149233 0.00968341 0.136822 0.000186743 0.00488917 0.0153442 5.73946e-06 0.0657638 0.687234 4.89762e-05 4.5668 0.187128
KdAMP nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KdADP nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KFru16P2v12 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KRu5Pv21 0.0047217 0.0109396 0.000863632 0.0140048 0.00202414 2.34375e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127443 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844208 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.0062717 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153445 5.7394e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
Keqv29 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Kd3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv26 0.00472192 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844208 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.00627176 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153444 5.73941e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
KR5Pv25 0.00518109 0.0108494 0.000866179 0.0154385 0.00194419 2.24452e-05 0.000156117 0.0211896 0.0239456 0.0653439 0.553963 0.0139815 0.999913 1.42294 0.0839898 0.00233278 0.0700708 0.00834617 2.06426 0.0158881 0.184943 0.000483362 1.6803 0.00608134 0.0269456 0.0416869 0.00610302 3.11403 0.149681 0.00969544 0.134792 0.000186619 0.00489268 0.0162099 5.49263e-06 0.0649407 0.685976 4.89417e-05 4.57875 0.184926
KR5Pv22 0.0047219 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127436 0.999225 1.41771 0.08399 0.00243876 0.0722413 0.00844207 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.00627175 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153444 5.73941e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
KPGA23v18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv9 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KPv6 0.00473052 0.0110178 0.000863731 0.0140319 0.00202103 2.33988e-05 0.000156377 0.0211152 0.0239453 0.0653436 0.555748 0.0127669 0.99922 1.418 0.0839894 0.00243476 0.0721265 0.00848539 2.06098 0.0154999 0.18371 0.000483161 1.68031 0.00604195 0.0250821 0.0396173 0.00626295 3.11403 0.148719 0.00962191 0.136722 0.000186738 0.00488931 0.0153947 5.72977e-06 0.0660531 0.687093 4.89748e-05 4.56694 0.187005
KPEPv12 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KNADPv19 0.00472195 0.0109396 0.000863632 0.0140054 0.00202416 2.34378e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127438 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844208 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250542 0.0394896 0.00627173 3.11403 0.149233 0.0096835 0.136822 0.000186332 0.00488917 0.0153444 5.73947e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
Vmaxv24 0.0047044 0.0109376 0.000863702 0.0139531 0.00202195 2.34103e-05 0.000156367 0.0211143 0.0239453 0.0653436 0.555757 0.0126964 0.999238 1.41782 0.08399 0.00243701 0.0721963 0.00844012 2.06128 0.0152154 0.183683 0.000480714 1.68031 0.00606334 0.0250595 0.0395352 0.00630479 3.11403 0.149244 0.00968413 0.13678 0.00018674 0.00488927 0.0153624 5.73261e-06 0.0657474 0.687205 4.89752e-05 4.56697 0.187082
KNADPv18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv19 0.00472586 0.0109396 0.000863606 0.0140171 0.00202497 2.34478e-05 0.000156372 0.0211114 0.0239453 0.0653436 0.555793 0.0127543 0.999224 1.41771 0.08399 0.00243882 0.0722422 0.00844215 2.06123 0.015399 0.183657 0.000480657 1.68031 0.00606291 0.0250427 0.0394885 0.00626632 3.11439 0.149234 0.00968362 0.136823 5.24753e-06 0.00488913 0.015344 5.74196e-06 0.0657646 0.687234 4.89765e-05 4.56679 0.187129
KNADPv17 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KNADPHv17 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
K13P2Gv6 0.00472191 0.0109415 0.000863633 0.0140053 0.00202412 2.34373e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555791 0.0127437 0.999224 1.41772 0.08399 0.00243871 0.0722398 0.00844316 2.06124 0.0154131 0.183658 0.000480713 1.68031 0.00606237 0.0250544 0.0394907 0.00627139 3.11403 0.149221 0.009682 0.13682 0.000186743 0.00488917 0.0153449 5.73934e-06 0.0657712 0.687233 4.89762e-05 4.5668 0.187126
KNADHv6 0.00472192 0.0109399 0.000863632 0.0140053 0.00202414 2.34375e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555792 0.0127437 0.999225 1.41771 0.08399 0.00243875 0.072241 0.00844224 2.06123 0.0154124 0.183657 0.000480665 1.68031 0.0060628 0.0250543 0.0394898 0.0062717 3.11403 0.149231 0.00968327 0.136821 0.000186743 0.00488917 0.0153445 5.73941e-06 0.065765 0.687233 4.89762e-05 4.5668 0.187127
KGSSGv19 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMoutv0 0.00472292 0.0109387 0.00086365 0.0140082 0.00202359 2.34306e-05 0.000156373 0.0211128 0.0239453 0.0653436 0.555783 0.0127464 0.999222 1.41774 0.08399 0.00243837 0.0722304 0.00844182 2.06125 0.0154221 0.183664 0.000480696 1.68031 0.00606347 0.0250615 0.0395076 0.00627365 3.11403 0.149248 0.00968551 0.136812 0.000186742 0.0048892 0.0153515 5.73769e-06 0.0657631 0.687227 4.89759e-05 4.67619 0.187117
KDHAPv4 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMinv0 0.00472278 0.0109389 0.000863644 0.0140078 0.00202376 2.34328e-05 0.000156373 0.0211126 0.0239453 0.0653436 0.555786 0.012746 0.999221 1.41773 0.08399 0.00243846 0.0722328 0.00844191 2.06124 0.0154201 0.183662 0.00048069 1.68031 0.00606341 0.0250583 0.0395046 0.00627327 3.11403 0.149246 0.00968532 0.136814 0.000186743 0.00488919 0.0153503 5.73823e-06 0.0657637 0.687228 4.8976e-05 4.66745 0.187119
KATPv18 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMgv1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv13 0.00472551 0.011739 0.000864849 0.0140218 0.00198586 2.2963e-05 0.000143945 0.0211493 0.0239454 0.0653561 0.555579 0.0127531 0.999128 1.41947 0.083986 0.00241462 0.0715517 0.00889645 2.05926 0.0161852 0.183956 0.000505329 1.68031 0.00586832 0.025628 0.0403147 0.00622722 3.11403 0.144453 0.00912346 0.136233 0.000186683 0.00489085 0.0156687 5.62103e-06 0.0688398 0.686302 4.89597e-05 4.57029 0.186373
KADPv16 0.00472192 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243876 0.0722411 0.00844208 2.06123 0.0154124 0.183657 0.000480654 1.68031 0.00606286 0.0250543 0.0394897 0.00627175 3.11403 0.149233 0.00968346 0.136822 0.000186743 0.00488917 0.0153445 5.73941e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
Kd4 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
K23P2Gv8 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMgATPv1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMgATPMgv1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv27 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMgADPv7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMg23P2Gv1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv12 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KMGlcv1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Vmaxv21 0.00472169 0.0109393 0.000863643 0.0140047 0.0020238 2.34332e-05 0.000156372 0.0211126 0.0239453 0.0653436 0.55579 0.0127434 0.999225 1.41772 0.08399 0.00243861 0.0722371 0.00844194 2.06123 0.015419 0.183659 0.000480666 1.68031 0.00606301 0.0250607 0.0394948 0.00627351 3.11403 0.149236 0.00968389 0.136818 0.000186743 0.00488919 0.0153465 5.73834e-06 0.065763 0.68723 4.8976e-05 4.56678 0.187123
KGraPv6 0.00472296 0.0109864 0.000863652 0.0140084 0.00202351 2.34296e-05 0.00015637 0.0211128 0.0239453 0.0653436 0.555752 0.0127465 0.999229 1.41779 0.0839898 0.00243741 0.0722067 0.00846808 2.06137 0.0154365 0.183681 0.000482029 1.68031 0.00605009 0.0250553 0.0395253 0.00626267 3.11403 0.148919 0.00964573 0.136789 0.000186742 0.0048892 0.0153585 5.73744e-06 0.0659375 0.687229 4.89759e-05 4.5668 0.187094
Keqv3 0.00472192 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844207 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.00627176 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153444 5.73942e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
KAMPv3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KGlc6Pv2 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KGlc6Pv1 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KGSHv19 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
kATPasev15 0.00472192 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243877 0.0722413 0.00844208 2.06123 0.0154123 0.183657 0.000480655 1.68031 0.00606287 0.0250543 0.0394896 0.00627176 3.11403 0.149233 0.0096835 0.136822 0.000186743 0.00488917 0.0153444 5.73941e-06 0.0657639 0.687233 4.89762e-05 4.5668 0.187128
Kv20 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv2 0.00174674 0.0153301 0.000910665 0.00515168 0.000536725 5.88681e-06 0.000144229 0.0225526 0.0239502 0.0653558 0.740175 0.00471155 1.01987 0.955261 0.0840278 0.0157306 0.354172 0.00935061 1.80524 4.21033e-05 0.0929336 0.000150063 1.68002 0.00169272 0.0595752 0.193926 2.31851e-05 3.11403 0.0416034 0.000619674 0.287438 0.000184518 0.00495313 1.53873e-06 1.42497e-06 0.0657251 0.801395 4.83537e-05 4.83177 0.294465
KFru6Pv2 0.00472233 0.0109393 0.000863625 0.0140064 0.00202436 2.34403e-05 0.000156373 0.021112 0.0239453 0.0653436 0.555792 0.0127448 0.999222 1.41772 0.08399 0.00243874 0.0722406 0.00844213 2.06123 0.0154146 0.183658 0.00048067 1.68031 0.00606315 0.0250536 0.0394796 0.00627212 3.11403 0.14924 0.00968463 0.136821 0.000186744 0.00488916 0.0153468 5.74007e-06 0.0657652 0.687233 4.89763e-05 4.56679 0.187127
KFru16P2v4 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
Keqv11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
KDHAPv5 0.00472279 0.010947 0.000863638 0.0140079 0.00202395 2.34351e-05 0.000156372 0.0211124 0.0239453 0.0653436 0.555782 0.012746 0.999224 1.41773 0.08399 0.00243846 0.0722333 0.00844633 2.06127 0.0154142 0.183663 0.000480894 1.68031 0.00606588 0.0250579 0.0394961 0.00627466 3.11403 0.149088 0.00967806 0.136814 0.000186743 0.00488918 0.015347 5.73881e-06 0.0657928 0.687234 4.89761e-05 4.56682 0.18712
Vmaxv26 0.00469338 0.0109376 0.000863706 0.0139202 0.00202182 2.34086e-05 0.000156368 0.0211145 0.0239453 0.0653436 0.555753 0.0126666 0.999235 1.41782 0.08399 0.00243693 0.0721963 0.00844023 2.06131 0.0150799 0.183684 0.000480726 1.68031 0.00606352 0.0250449 0.0395356 0.00612913 3.11403 0.149249 0.00968469 0.136779 0.00018674 0.00488927 0.0153626 5.7322e-06 0.0657487 0.687211 4.89752e-05 4.56705 0.187083
K4v24 0.00472139 0.0109393 0.000863636 0.0140038 0.00202402 2.3436e-05 0.000156372 0.0211123 0.0239453 0.0653436 0.55579 0.0127423 0.999223 1.41772 0.08399 0.00243861 0.0722369 0.00844204 2.06123 0.0154126 0.18366 0.000480675 1.68031 0.00606315 0.0250545 0.0394947 0.00627434 3.11403 0.14924 0.00968432 0.136818 0.000186743 0.00488918 0.0153465 5.73903e-06 0.0657641 0.68723 4.89761e-05 4.56678 0.187123
KMgATPv3 0.00471882 0.0108945 0.000863149 0.0139954 0.0020393 2.36262e-05 0.000156435 0.0210976 0.0239452 0.0653436 0.555429 0.0127353 0.999108 1.41934 0.0839898 0.00241522 0.0715826 0.00842388 2.06063 0.015163 0.183989 0.000482684 1.68031 0.00609187 0.0248304 0.0391735 0.00625141 3.11403 0.149947 0.00977826 0.136229 0.000186767 0.00488851 0.0152198 5.78639e-06 0.06567 0.686583 4.89827e-05 4.56504 0.186442
KGraPv5 0.00472193 0.0109396 0.000863632 0.0140053 0.00202414 2.34376e-05 0.000156372 0.0211122 0.0239453 0.0653436 0.555793 0.0127437 0.999225 1.41771 0.08399 0.00243876 0.0722411 0.00844211 2.06123 0.0154124 0.183657 0.000480658 1.68031 0.00606291 0.0250543 0.0394897 0.00627179 3.11403 0.149232 0.00968346 0.136822 0.000186743 0.00488917 0.0153445 5.73941e-06 0.0657642 0.687233 4.89762e-05 4.5668 0.187127
