name ancestor mean var
Vmaxv26 23.5 16689.6 1.4553e+08
K4v24 0.006095 0.00228723 1.51988e-05
KMgATPv3 0.068 0.00092607 1.67575e-07
KGraPv5 0.428 58.1722 15039.9
KATPv16 0.09 0.0436364 0.00564015
KATPv12 3.39 nan nan
Vmaxv29 10000 319030 3.44642e+11
KNADv6 0.05 0.00193434 1.72107e-05
kDPGMv8 76000 nan nan
Vmaxv5 5456.6 2.92185e+07 5.76399e+15
KAMPv16 0.08 0.0315409 0.00830482
KNADPHv19 0.00852 9.42821e-08 5.29419e-13
KRu5Pv22 0.78 0.558997 0
KG6Pv17 0.0667 nan nan
K7v24 2.524 0.249608 0.180593
K7v23 48.8 63.4303 3846.19
Vmaxv10 2000 nan nan
Keqv10 0.145 nan nan
KMgATPv7 0.48 0.481422 0
Vmaxv17 162 nan nan
KFru6Pv3 0.1 nan nan
K7v26 0.215 0.60186 0.577229
K1v24 0.00823 0.000335763 6.08198e-07
KGraPv4 0.1906 nan nan
K6v24 0.4653 0.1952 0.0826283
Keqv7 1455 nan nan
Kd2 1e-05 nan nan
Keqv22 3 nan nan
KNADPHv18 0.0045 0.0190702 9.83673e-05
K6PG2v18 0.058 531.452 547361
KMgADPv12 0.474 nan nan
K4v26 0.0003 3.71628e-05 1.31215e-08
K5v23 0.41139 5.58975 184.892
KATPv25 0.03 0.00679496 0.000109122
Keqv0 1 nan nan
Kd23P2G 1.667 nan nan
K6PG1v18 0.01 nan nan
Keqv24 1.05 nan nan
Keqv1 3900 1355.59 5.09383e+06
K3v23 12.432 nan nan
KPEPv11 1 1.42448 0
K3PGv10 5 nan nan
K5v26 0.0287 0.199967 0.0706229
K4v23 0.00496 0.00235415 1.17025e-05
K23P2Gv9 0.2 0.00751883 0.000263632
KATPv17 0.749 nan nan
K1v26 0.00184 4.77777e-05 3.20312e-08
K2v23 0.3055 0.271155 0.00993528
K3v24 0.1733 0.00368033 5.1989e-05
Keqv9 100000 42326.8 8.54506e+09
Kd1 0.0002 nan nan
K5v24 0.8683 0.213666 0.0977173
K2PGv11 1 nan nan
K3v26 0.0548 0.00116939 4.30017e-05
K2v24 0.04765 0.00988496 0.000725967
Keqv8 100000 9.63788e+10 2.58875e+22
Keqv4 0.114 nan nan
K2v26 0.3055 0.000435971 5.96658e-06
Vmaxv6 4300 nan nan
KATPv3 0.01 nan nan
KPGA23v17 2.289 nan nan
K2PGv10 1 1.25567 0.151816
K1v23 0.4177 0.0494615 0.00245178
Vmaxv7 5000 3.13004e+08 1.86671e+17
K6v23 0.00774 0.00893826 0.000771169
KdATP 0.072 nan nan
K3PGv7 1.2 7.94062 48.0136
KiGraPv4 0.0572 1152.19 4.27049e+06
K13P2Gv7 0.002 8.76876e-06 7.44243e-11
KMgv3 0.44 nan nan
K23P2Gv1 2.7 nan nan
